order_purchase_timestamp,customer_state,product_category_name_english,payment_value,total_freight_value,total_price,avg_payment_value,avg_freight_value,avg_price,num_products,num_trans,payment_value_roll
2016-09-04,Roraima,furniture_decor,272.46,63.34,72.89,136.23,31.67,36.445,2.0,2.0,
2016-09-05,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2016-09-06,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2016-09-07,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2016-09-08,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2016-09-09,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2016-09-10,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.92285714285714
2016-09-11,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-12,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-13,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-14,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-15,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-16,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-17,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-18,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-19,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-20,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-21,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-22,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-23,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-24,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-25,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-26,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-27,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-28,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-29,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-09-30,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-01,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-02,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-03,Minas Gerais,furniture_decor,92.27,17.37,74.9,92.27,17.37,74.9,1.0,1.0,13.18142857142857
2016-10-04,Mato Grosso,furniture_decor,202.88,53.64,47.8,101.44,26.82,23.9,1.0,2.0,42.16428571428571
2016-10-05,São Paulo,furniture_decor,850.31,80.94,119.81,141.71833333333333,13.49,19.968333333333334,6.0,6.0,163.63714285714286
2016-10-06,Goiás,furniture_decor,74.15,25.15,49.0,74.15,25.15,49.0,1.0,1.0,174.23
2016-10-07,Minas Gerais,furniture_decor,212.32,18.52,193.8,212.32,18.52,193.8,1.0,1.0,204.56142857142854
2016-10-08,São Paulo,furniture_decor,1598.33,106.14,1242.47,228.33285714285714,15.162857142857144,177.49571428571429,6.0,7.0,432.8942857142857
2016-10-09,Paraná,furniture_decor,1625.95,90.02,492.59000000000003,325.19,18.003999999999998,98.518,3.0,5.0,665.1728571428572
2016-10-10,Minas Gerais,furniture_decor,877.76,108.25999999999999,253.38,109.72,13.532499999999999,31.6725,2.0,8.0,777.3857142857141
2016-10-11,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.4028571428571
2016-10-12,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626.9300000000001
2016-10-13,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,616.3371428571429
2016-10-14,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586.0057142857141
2016-10-15,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,357.67285714285714
2016-10-16,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.39428571428572
2016-10-17,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-18,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-19,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-20,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-21,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-22,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-23,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-24,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-25,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-26,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-27,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-28,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-29,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-30,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-31,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-01,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-02,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-03,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-04,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-05,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-06,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-07,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-08,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-09,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-10,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-11,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-12,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-13,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-14,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-15,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-16,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-17,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-18,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-19,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-20,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-21,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-22,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-23,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-24,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-25,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-26,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-27,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-28,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-29,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-11-30,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-01,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-02,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-03,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-04,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-05,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-06,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-07,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-08,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-09,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-10,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-11,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-12,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-13,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-14,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-15,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-16,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-17,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-18,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-19,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-20,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-21,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-22,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-23,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-24,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-25,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-26,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-27,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-28,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-29,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-30,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-12-31,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-01,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-02,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-03,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-04,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-05,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-06,0,furniture_decor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-01-07,São Paulo,furniture_decor,47.83,12.93,34.9,47.83,12.93,34.9,1.0,1.0,6.832857142857143
2017-01-08,Rio de Janeiro,furniture_decor,301.78,41.98,259.8,150.89,20.99,129.9,2.0,2.0,49.944285714285705
2017-01-09,Rio de Janeiro,furniture_decor,216.24,31.12,77.0,108.12,15.56,38.5,1.0,2.0,80.83571428571427
